title,price,currency,brand,category,source,link,image,search_query,page,in_stock,is_gaming,date_scraped
"GRIFEMA GB1054B Support Ordinateur Portable Réglable, Support PC Pliable en Aluminium 7 Niveaux de Hauteur, Compatible MacBook Air/Pro, Dell 10-17,3 Pouces, Léger et Stable - Noir",8.99,EUR,GRIFEMA,laptop_stand,Amazon,https://www.amazon.fr/sspa/click?ie=UTF8&spc=MTo0ODU4OTU5MzQwMTcxNzM3OjE3Nzc3MjUxNzM6c3BfYXRmOjMwMDU1NjU5NjUzMzUzMjo6MDo6&url=%2FGRIFEMA-GB1054B-Ordinateur-Compatible-Portables%2Fdp%2FB0D69NHWPG%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.KIFwdwX5ZyyAw4qOSnj9_yRVumOXHj6VCDgy2KWqZakG40FeEw2dzjzXOnW7X_044FH5te7_jVo121xfwyAPl_qN696y4uZuKRfHg30rDM7j-fhC9pQl6bCqWM7UvAHXRVPMpik1l0UPTeT4rrI7406ZKrbiuXKicJ6Kqqf9ZFG3HNqVzZrz_Os_sPsLo6stCAsbt_i1ah2m0BPVXA4s2JA8_1XRJGDhoisNcP8zwmvwwDvRytODmR8DK0FDO50JOxWQEXICA1aHSWweXtnrhBPRv6JS9GXx8ffHW5Q5i-w.qSMcbYb7wRZHSeesBxgpArFhpfZp5FnkBVO8NDvBYv0%26dib_tag%3Dse%26keywords%3Dsupport%2Bpc%2Bportable%26qid%3D1777725173%26sr%3D8-1-spons%26aref%3DYByceJJlEj%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=YByceJJlEj&sp_cr=ZAZ,https://m.media-amazon.com/images/I/61u7-I1N0jL._AC_UL320_.jpg,support pc portable,1,True,False,2026-05-02 14:33:06
"GRIFEMA Support Ordinateur Portable, Support PC Portable Rotatif à 360°, Réglable en Hauteur, Pliable Laptop Stand Compatible avec MacBook Air/Pro, Dell, HP (11-17"") GB1050-1 - Argenté",17.99,EUR,GRIFEMA,laptop_stand,Amazon,https://www.amazon.fr/sspa/click?ie=UTF8&spc=MTo0ODU4OTU5MzQwMTcxNzM3OjE3Nzc3MjUxNzM6c3BfYXRmOjMwMDY0NjcwOTA0MzMzMjo6MDo6&url=%2FGRIFEMA-Ordinateur-Portable-Compatible-GB1050-1%2Fdp%2FB0DNF5HGJQ%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.KIFwdwX5ZyyAw4qOSnj9_yRVumOXHj6VCDgy2KWqZakG40FeEw2dzjzXOnW7X_044FH5te7_jVo121xfwyAPl_qN696y4uZuKRfHg30rDM7j-fhC9pQl6bCqWM7UvAHXRVPMpik1l0UPTeT4rrI7406ZKrbiuXKicJ6Kqqf9ZFG3HNqVzZrz_Os_sPsLo6stCAsbt_i1ah2m0BPVXA4s2JA8_1XRJGDhoisNcP8zwmvwwDvRytODmR8DK0FDO50JOxWQEXICA1aHSWweXtnrhBPRv6JS9GXx8ffHW5Q5i-w.qSMcbYb7wRZHSeesBxgpArFhpfZp5FnkBVO8NDvBYv0%26dib_tag%3Dse%26keywords%3Dsupport%2Bpc%2Bportable%26qid%3D1777725173%26sr%3D8-2-spons%26aref%3DDnDFgrCZt2%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=DnDFgrCZt2&sp_cr=ZAZ,https://m.media-amazon.com/images/I/61-mNMQSXhL._AC_UL320_.jpg,support pc portable,1,True,False,2026-05-02 14:33:06
"EWENT EW1258 - Support pour ordinateur portable 17"" avec système de refroidissement et sélection de l'angle de vue",16.02,EUR,EWENT,laptop_stand,Amazon,https://www.amazon.fr/sspa/click?ie=UTF8&spc=MTo0ODU4OTU5MzQwMTcxNzM3OjE3Nzc3MjUxNzM6c3BfYXRmOjMwMDkyNzY0MzE0MzczMjo6MDo6&url=%2FEWENT-EW1258-ordinateur-refroidissement-s%25C3%25A9lection%2Fdp%2FB01B34942Q%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.KIFwdwX5ZyyAw4qOSnj9_yRVumOXHj6VCDgy2KWqZakG40FeEw2dzjzXOnW7X_044FH5te7_jVo121xfwyAPl_qN696y4uZuKRfHg30rDM7j-fhC9pQl6bCqWM7UvAHXRVPMpik1l0UPTeT4rrI7406ZKrbiuXKicJ6Kqqf9ZFG3HNqVzZrz_Os_sPsLo6stCAsbt_i1ah2m0BPVXA4s2JA8_1XRJGDhoisNcP8zwmvwwDvRytODmR8DK0FDO50JOxWQEXICA1aHSWweXtnrhBPRv6JS9GXx8ffHW5Q5i-w.qSMcbYb7wRZHSeesBxgpArFhpfZp5FnkBVO8NDvBYv0%26dib_tag%3Dse%26keywords%3Dsupport%2Bpc%2Bportable%26qid%3D1777725173%26sr%3D8-3-spons%26aref%3DgixY6GTuMB%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=gixY6GTuMB&sp_cr=ZAZ,https://m.media-amazon.com/images/I/61VHoVIhGML._AC_UL320_.jpg,support pc portable,1,True,False,2026-05-02 14:33:07
"DIGITUS Support écran - Pince de table - Support pour ordinateur portable - 1 écran - Jusqu'à 32 pouces - VESA 75x75, 100x100 - Noir",47.41,EUR,DIGITUS,laptop_stand,Amazon,https://www.amazon.fr/sspa/click?ie=UTF8&spc=MTo0ODU4OTU5MzQwMTcxNzM3OjE3Nzc3MjUxNzM6c3BfYXRmOjIwMTI4MDYyOTkwNzk4OjowOjo&url=%2FDigitus-Support-universel-ordinateur-portable%2Fdp%2FB0BF9479ZJ%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.KIFwdwX5ZyyAw4qOSnj9_yRVumOXHj6VCDgy2KWqZakG40FeEw2dzjzXOnW7X_044FH5te7_jVo121xfwyAPl_qN696y4uZuKRfHg30rDM7j-fhC9pQl6bCqWM7UvAHXRVPMpik1l0UPTeT4rrI7406ZKrbiuXKicJ6Kqqf9ZFG3HNqVzZrz_Os_sPsLo6stCAsbt_i1ah2m0BPVXA4s2JA8_1XRJGDhoisNcP8zwmvwwDvRytODmR8DK0FDO50JOxWQEXICA1aHSWweXtnrhBPRv6JS9GXx8ffHW5Q5i-w.qSMcbYb7wRZHSeesBxgpArFhpfZp5FnkBVO8NDvBYv0%26dib_tag%3Dse%26keywords%3Dsupport%2Bpc%2Bportable%26qid%3D1777725173%26sr%3D8-4-spons%26aref%3DtOeujhubby%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=tOeujhubby&sp_cr=ZAZ,https://m.media-amazon.com/images/I/512XeXQg7aL._AC_UL320_.jpg,support pc portable,1,True,False,2026-05-02 14:33:07
"Fellowes Support PC Portable Everyday – Noir – 7 hauteurs réglables – pour Maison, Bureau & Travail Hybride – Portable & Ergonomique – Écrans Jusqu’à 17"", Max 4 kg",14.99,EUR,Fellowes,laptop_stand,Amazon,https://www.amazon.fr/sspa/click?ie=UTF8&spc=MTo0ODU4OTU5MzQwMTcxNzM3OjE3Nzc3MjUxNzM6c3BfYXRmOjMwMDc3Njc4NDI0ODkzMjo6MDo6&url=%2FFellowes-Support-Portable-Everyday-Ergonomique%2Fdp%2FB0F4FFXRRP%2Fref%3Dsr_1_5_sspa%3Fdib%3DeyJ2IjoiMSJ9.KIFwdwX5ZyyAw4qOSnj9_yRVumOXHj6VCDgy2KWqZakG40FeEw2dzjzXOnW7X_044FH5te7_jVo121xfwyAPl_qN696y4uZuKRfHg30rDM7j-fhC9pQl6bCqWM7UvAHXRVPMpik1l0UPTeT4rrI7406ZKrbiuXKicJ6Kqqf9ZFG3HNqVzZrz_Os_sPsLo6stCAsbt_i1ah2m0BPVXA4s2JA8_1XRJGDhoisNcP8zwmvwwDvRytODmR8DK0FDO50JOxWQEXICA1aHSWweXtnrhBPRv6JS9GXx8ffHW5Q5i-w.qSMcbYb7wRZHSeesBxgpArFhpfZp5FnkBVO8NDvBYv0%26dib_tag%3Dse%26keywords%3Dsupport%2Bpc%2Bportable%26qid%3D1777725173%26sr%3D8-5-spons%26aref%3Di3XuY2fcHZ%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=i3XuY2fcHZ&sp_cr=ZAZ,https://m.media-amazon.com/images/I/81H7HZypeQL._AC_UL320_.jpg,support pc portable,1,True,False,2026-05-02 14:33:07
"Support Ordinateur Portable Ergonomique Rotatif 360°, GRIFEMA GB1050 - Support PC Portable Réglable en Hauteur, Pliable, Ventilé, Compatible MacBook Air/Pro, Dell, et Laptops 11-17 Pouces - Noir",17.99,EUR,Support,laptop_stand,Amazon,https://www.amazon.fr/GRIFEMA-GB1050-Ordinateur-Aluminium-Compatible/dp/B0C9TS7BYG/ref=sr_1_6?dib=eyJ2IjoiMSJ9.KIFwdwX5ZyyAw4qOSnj9_yRVumOXHj6VCDgy2KWqZakG40FeEw2dzjzXOnW7X_044FH5te7_jVo121xfwyAPl_qN696y4uZuKRfHg30rDM7j-fhC9pQl6bCqWM7UvAHXRVPMpik1l0UPTeT4rrI7406ZKrbiuXKicJ6Kqqf9ZFG3HNqVzZrz_Os_sPsLo6stCAsbt_i1ah2m0BPVXA4s2JA8_1XRJGDhoisNcP8zwmvwwDvRytODmR8DK0FDO50JOxWQEXICA1aHSWweXtnrhBPRv6JS9GXx8ffHW5Q5i-w.qSMcbYb7wRZHSeesBxgpArFhpfZp5FnkBVO8NDvBYv0&dib_tag=se&keywords=support+pc+portable&qid=1777725173&sr=8-6,https://m.media-amazon.com/images/I/61zsLWXwz0L._AC_UL320_.jpg,support pc portable,1,True,False,2026-05-02 14:33:07
"GRIFEMA GB1054 Support Ordinateur Portable Réglable, Support PC Pliable en Aluminium 7 Niveaux de Hauteur, Compatible MacBook Air/Pro, Dell 10-17,3 Pouces, Léger et Stable -Argent",8.99,EUR,GRIFEMA,laptop_stand,Amazon,https://www.amazon.fr/GRIFEMA-GB1054-Ordinateur-Compatible-Portables/dp/B0D69T4MGW/ref=sr_1_9?dib=eyJ2IjoiMSJ9.KIFwdwX5ZyyAw4qOSnj9_yRVumOXHj6VCDgy2KWqZakG40FeEw2dzjzXOnW7X_044FH5te7_jVo121xfwyAPl_qN696y4uZuKRfHg30rDM7j-fhC9pQl6bCqWM7UvAHXRVPMpik1l0UPTeT4rrI7406ZKrbiuXKicJ6Kqqf9ZFG3HNqVzZrz_Os_sPsLo6stCAsbt_i1ah2m0BPVXA4s2JA8_1XRJGDhoisNcP8zwmvwwDvRytODmR8DK0FDO50JOxWQEXICA1aHSWweXtnrhBPRv6JS9GXx8ffHW5Q5i-w.qSMcbYb7wRZHSeesBxgpArFhpfZp5FnkBVO8NDvBYv0&dib_tag=se&keywords=support+pc+portable&qid=1777725173&sr=8-9,https://m.media-amazon.com/images/I/61e4KUvRcPL._AC_UL320_.jpg,support pc portable,1,True,False,2026-05-02 14:33:07
"Amazon Basics Support ergonomique réglable pour ordinateur portable jusqu'à 17,3 pouces avec grille d'aération et réglage en continu de la hauteur et de l'angle, Argenté, 25,4 x 23,9 x 6,5 cm",18.89,EUR,Amazon,laptop_stand,Amazon,https://www.amazon.fr/Amazon-Basics-dordinateur-ergonomique-multi-angle/dp/B09WNGTFH2/ref=sr_1_10?dib=eyJ2IjoiMSJ9.KIFwdwX5ZyyAw4qOSnj9_yRVumOXHj6VCDgy2KWqZakG40FeEw2dzjzXOnW7X_044FH5te7_jVo121xfwyAPl_qN696y4uZuKRfHg30rDM7j-fhC9pQl6bCqWM7UvAHXRVPMpik1l0UPTeT4rrI7406ZKrbiuXKicJ6Kqqf9ZFG3HNqVzZrz_Os_sPsLo6stCAsbt_i1ah2m0BPVXA4s2JA8_1XRJGDhoisNcP8zwmvwwDvRytODmR8DK0FDO50JOxWQEXICA1aHSWweXtnrhBPRv6JS9GXx8ffHW5Q5i-w.qSMcbYb7wRZHSeesBxgpArFhpfZp5FnkBVO8NDvBYv0&dib_tag=se&keywords=support+pc+portable&qid=1777725173&sr=8-10,https://m.media-amazon.com/images/I/51yH+B2IopL._AC_UL320_.jpg,support pc portable,1,True,False,2026-05-02 14:33:08
"Amazon Basics Support d'ordinateur portable réglable ergonomique et ventilé jusqu'à 17.3 pouces, 33 x 28.7 x 18.5 cm, Noir",18.0,EUR,Amazon,laptop_stand,Amazon,https://www.amazon.fr/Amazon-Basics-dordinateur-portable-ergonomique/dp/B09WNFVB87/ref=sr_1_11?dib=eyJ2IjoiMSJ9.KIFwdwX5ZyyAw4qOSnj9_yRVumOXHj6VCDgy2KWqZakG40FeEw2dzjzXOnW7X_044FH5te7_jVo121xfwyAPl_qN696y4uZuKRfHg30rDM7j-fhC9pQl6bCqWM7UvAHXRVPMpik1l0UPTeT4rrI7406ZKrbiuXKicJ6Kqqf9ZFG3HNqVzZrz_Os_sPsLo6stCAsbt_i1ah2m0BPVXA4s2JA8_1XRJGDhoisNcP8zwmvwwDvRytODmR8DK0FDO50JOxWQEXICA1aHSWweXtnrhBPRv6JS9GXx8ffHW5Q5i-w.qSMcbYb7wRZHSeesBxgpArFhpfZp5FnkBVO8NDvBYv0&dib_tag=se&keywords=support+pc+portable&qid=1777725173&sr=8-11,https://m.media-amazon.com/images/I/81EK-Nq9nEL._AC_UL320_.jpg,support pc portable,1,True,False,2026-05-02 14:33:08
"GRIFEMA GB1051, Rehausseur Ecran PC Bureau, Support de Moniteur Réglable en Hauteur (3 Types), Convient aux Moniteurs PC, Ordinateurs Portables, Imprimantes, Charge Maximale 20 kg, Noir",10.99,EUR,GRIFEMA,laptop_stand,Amazon,https://www.amazon.fr/GRIFEMA-GB1051-Rehausseur-Ordinateurs-Imprimantes/dp/B0CB8733RV/ref=sr_1_12?dib=eyJ2IjoiMSJ9.KIFwdwX5ZyyAw4qOSnj9_yRVumOXHj6VCDgy2KWqZakG40FeEw2dzjzXOnW7X_044FH5te7_jVo121xfwyAPl_qN696y4uZuKRfHg30rDM7j-fhC9pQl6bCqWM7UvAHXRVPMpik1l0UPTeT4rrI7406ZKrbiuXKicJ6Kqqf9ZFG3HNqVzZrz_Os_sPsLo6stCAsbt_i1ah2m0BPVXA4s2JA8_1XRJGDhoisNcP8zwmvwwDvRytODmR8DK0FDO50JOxWQEXICA1aHSWweXtnrhBPRv6JS9GXx8ffHW5Q5i-w.qSMcbYb7wRZHSeesBxgpArFhpfZp5FnkBVO8NDvBYv0&dib_tag=se&keywords=support+pc+portable&qid=1777725173&sr=8-12,https://m.media-amazon.com/images/I/51NCfz2HJOL._AC_UL320_.jpg,support pc portable,1,True,False,2026-05-02 14:33:08
